token,timestamp,iterations,elapsedtime,averagetime
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24521,1066.6
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24520,1066.6
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24520,1066.6
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24518,882
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24521,1066.8
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24521,1067
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24520,1066.8
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24521,1067
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24521,1067
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24521,1067.2
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24521,1067.2
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24522,1067.4
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24521,1066.8
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24522,1067.4
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24522,1067.4
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24522,1067.6
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24522,1067.8
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24523,1067.8
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24522,1067.8
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24522,1068
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24522,1068
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),7,24523,777.5714285714286
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),7,24523,777.7142857142857
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),7,24523,777.7142857142857
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),7,24522,777.7142857142857
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),7,24523,777.7142857142857
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),7,24523,777.8571428571429
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),7,24523,778
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),7,24524,778
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),7,24524,778.1428571428571
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),7,24523,778.1428571428571
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),7,24524,778.1428571428571
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),7,24524,778.2857142857143
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),7,24524,778.2857142857143
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),7,24524,778.4285714285714
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),7,24524,778.2857142857143
